New ONS code,Borough,ST2004,ST2009,ST2014,ST2019,VC2004,VC2009,VC2014,VC2019,HL2004,HL2009,HL2014,HL2019
E09000001,City of London,"5,260","5,470","6,000","6,510",165,72,120,311,7.8,2,5.7,3.26
E09000002,Barking and Dagenham,"68,900","70,840","72,670","75,830","1,623","1,643","1,382",921,11.6,3.4,10.4,6.91
E09000003,Barnet,"132,860","137,770","143,950","152,950","3,607","3,652","2,362","2,944",5.6,1.7,4.7,6.67
E09000004,Bexley,"92,950","94,370","96,190","98,390","2,161","2,059","1,087","1,668",4.7,1.4,5.2,0.1
E09000005,Brent,"104,450","110,240","114,040","120,450","3,568","2,268","1,181","1,662",7,3.1,7.3,11.78
E09000006,Bromley,"129,810","133,670","136,450","139,680","3,825","3,613","2,646","2,994",3.9,3.2,3.3,2.98
E09000007,Camden,"94,840","98,560","101,210","105,600","3,049","2,592","2,859","3,878",11.6,0.9,0.6,5.83
E09000008,Croydon,"142,180","146,150","150,990","161,060","4,647","4,066","2,564","3,710",7.9,3,5.8,11.7
E09000009,Ealing,"121,430","126,380","129,630","135,310","3,416","3,038","2,529","2,595",6.1,3,7.2,0.1
E09000010,Enfield,"116,340","120,620","123,400","126,260","4,494","2,508","1,919","3,158",6.3,2.1,4.8,6.45
E09000011,Greenwich,"98,180","102,560","105,740","114,400","3,084","3,497","1,839","1,867",12.1,2,3.4,5.99
E09000012,Hackney,"91,590","99,690","105,490","111,560","3,407","3,840","2,013","2,043",12.5,7.3,8.3,12.71
E09000013,Hammersmith and Fulham,"78,200","80,990","83,910","89,190","2,946","2,025","1,078",659,7.6,2,5.5,7.35
E09000014,Haringey,"95,710","102,290","106,510","109,390","1,966","2,336","1,357","2,268",11.6,3.7,6,4.36
E09000015,Harrow,"82,050","85,390","88,000","91,910","1,484","1,388",838,"1,956",1.1,0.6,3.2,5.26
E09000016,Havering,"95,180","98,290","99,620","102,460","2,568","2,794","1,447","1,669",2.2,1.4,1.9,4.58
E09000017,Hillingdon,"100,310","102,900","106,920","110,730","2,532","1,918","1,381","2,061",4.5,4.5,2.9,4.39
E09000018,Hounslow,"88,610","94,970","98,390","101,840","2,125","1,486","2,250","1,984",10,2,4.4,0.1
E09000019,Islington,"87,260","94,710","100,260","103,740","2,677","2,140","1,982","1,995",13.3,2.3,4,3.42
E09000020,Kensington and Chelsea,"84,360","84,550","85,550","87,730","3,064","2,854","2,269","2,067",6.5,2.9,5.2,10.81
E09000021,Kingston upon Thames,"63,400","64,970","65,890","67,640","2,394","2,104","1,314","1,676",4.1,2.2,3.3,0.1
E09000022,Lambeth,"122,820","129,290","134,850","141,510","3,291","3,898","2,025","1,849",12.6,5.2,3.7,8.83
E09000023,Lewisham,"110,810","115,580","121,350","128,120","1,586","2,215","1,835","2,338",11.1,5.6,6.2,8.54
E09000024,Merton,"80,330","81,050","82,280","84,570","1,362","1,750","1,321","1,498",3.1,1.1,1.6,2.68
E09000025,Newham,"96,810","100,980","106,760","116,980","2,645","3,718","2,392","3,273",4.1,1,8.3,9.55
E09000026,Redbridge,"96,200","99,940","102,400","104,690","1,992","2,489","1,162","1,875",5.3,2.6,4.2,0.1
E09000027,Richmond upon Thames,"79,250","81,850","83,540","85,560","2,166","1,322","1,211","1,388",3.4,1.7,2.8,0.1
E09000028,Southwark,"110,150","119,660","127,220","136,180","4,439","3,001","2,822","6,303",14.3,4,6.7,13.79
E09000029,Sutton,"78,050","79,440","80,810","83,550","2,351","2,248","1,742","2,165",3.5,1.8,3.4,5.36
E09000030,Tower Hamlets,"85,340","100,470","109,880","121,540","2,047","4,203","1,721","3,308",12.8,7.8,4.9,6.82
E09000031,Waltham Forest,"92,990","97,250","99,640","103,640","2,078","2,246","1,122","1,791",8.3,3.1,10.3,7.19
E09000032,Wandsworth,"124,140","132,060","137,760","148,080",0,"2,111","1,390",804,6.5,3.4,5.9,0.1
E09000033,Westminster,"106,760","115,050","120,370","125,310","3,974","3,968","1,555",988,10,3.5,5.8,11.54
