New ONS code,Borough,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
E09000007,Camden,"94,840","95,560","96,350","97,000","97,520","98,560","99,140","99,830","100,200","100,760","101,210","101,650","102,620","103,830","104,770","105,600"
E09000001,City of London,"5,260","5,370","5,370","5,370","5,420","5,470","5,460","5,510","5,530","5,570","6,000","6,230","6,310","6,310","6,450","6,510"
E09000012,Hackney,"91,590","92,740","93,940","95,390","97,300","99,690","101,660","102,410","103,560","104,360","105,490","106,750","107,570","108,770","110,040","111,560"
E09000013,Hammersmith and Fulham,"78,200","78,670","79,310","79,970","80,510","80,990","81,900","82,390","82,860","83,280","83,910","85,270","85,640","86,610","88,140","89,190"
E09000014,Haringey,"95,710","97,170","98,340","99,830","100,960","102,290","103,430","104,170","105,460","106,030","106,510","106,640","106,880","107,620","108,820","109,390"
E09000019,Islington,"87,260","87,940","88,820","90,650","92,380","94,710","96,300","96,870","98,100","99,020","100,260","100,760","101,780","102,460","102,820","103,740"
E09000020,Kensington and Chelsea,"84,360","84,520","84,600","84,630","84,580","84,550","84,760","84,800","84,900","84,960","85,550","86,540","86,920","87,280","87,610","87,730"
E09000022,Lambeth,"122,820","123,840","125,210","126,560","127,980","129,290","130,660","132,210","133,060","133,600","134,850","136,260","137,610","138,750","140,290","141,510"
E09000023,Lewisham,"110,810","111,590","112,630","113,290","114,370","115,580","116,640","117,650","118,840","120,640","121,350","122,820","124,360","125,960","126,490","128,120"
E09000025,Newham,"96,810","97,380","98,270","98,990","99,910","100,980","102,440","103,210","104,120","104,790","106,760","108,810","110,250","112,630","114,470","116,980"
E09000028,Southwark,"110,150","112,160","113,730","116,040","118,190","119,660","121,410","123,270","124,320","125,570","127,220","128,360","129,740","132,150","132,970","136,180"
E09000030,Tower Hamlets,"85,340","88,380","91,360","94,370","97,010","100,470","103,510","105,380","108,250","109,220","109,880","110,790","113,190","118,010","120,020","121,540"
E09000032,Wandsworth,"124,140","125,880","127,240","128,950","130,230","132,060","133,890","134,620","135,600","136,560","137,760","138,840","141,580","143,920","146,160","148,080"
E09000033,Westminster,"106,760","108,200","110,180","111,740","113,410","115,050","116,640","118,320","119,250","119,840","120,370","121,120","122,020","123,370","124,510","125,310"
E09000002,Barking and Dagenham,"68,900","69,260","69,530","69,840","70,550","70,840","70,950","71,080","71,430","71,940","72,670","73,180","73,910","74,510","74,920","75,830"
E09000003,Barnet,"132,860","133,900","134,940","135,430","136,680","137,770","138,620","139,350","141,460","142,830","143,950","145,270","146,730","148,530","150,740","152,950"
E09000004,Bexley,"92,950","93,220","93,430","93,750","94,080","94,370","94,800","95,040","95,240","95,660","96,190","97,000","96,860","97,630","97,910","98,390"
E09000005,Brent,"104,450","105,090","106,770","107,970","109,040","110,240","111,410","112,080","112,640","113,310","114,040","115,600","116,650","118,010","118,710","120,450"
E09000006,Bromley,"129,810","130,640","131,390","132,340","133,110","133,670","134,300","135,040","135,610","136,300","136,450","136,860","137,560","138,420","138,980","139,680"
E09000008,Croydon,"142,180","142,570","142,960","143,710","144,900","146,150","147,250","148,100","148,810","149,700","150,990","152,520","154,560","157,390","159,470","161,060"
E09000009,Ealing,"121,430","121,910","122,740","124,110","125,530","126,380","126,900","127,190","127,870","128,860","129,630","130,530","131,250","132,090","133,550","135,310"
E09000010,Enfield,"116,340","117,060","117,610","118,670","119,950","120,620","121,240","122,040","122,340","122,890","123,400","123,800","124,470","125,370","125,760","126,260"
E09000011,Greenwich,"98,180","99,810","101,190","101,930","102,260","102,560","102,650","103,190","104,510","104,620","105,740","106,880","108,600","110,980","112,880","114,400"
E09000015,Harrow,"82,050","82,700","83,360","84,070","84,530","85,390","85,990","86,520","86,990","87,710","88,000","88,410","89,320","89,980","90,680","91,910"
E09000016,Havering,"95,180","95,730","96,190","97,130","97,550","98,290","98,810","99,180","99,230","99,460","99,620","100,260","101,270","101,720","101,990","102,460"
E09000017,Hillingdon,"100,310","100,650","101,240","101,530","102,020","102,900","103,510","103,910","104,900","106,360","106,920","107,460","108,170","108,940","109,780","110,730"
E09000018,Hounslow,"88,610","89,510","90,370","92,110","94,100","94,970","95,890","96,890","97,470","97,700","98,390","98,790","99,270","99,820","100,740","101,840"
E09000021,Kingston upon Thames,"63,400","63,920","64,250","64,550","64,810","64,970","65,090","65,200","65,420","65,630","65,890","66,410","66,650","66,920","67,140","67,640"
E09000024,Merton,"80,330","80,270","80,540","80,530","80,680","81,050","80,970","80,920","81,430","81,840","82,280","82,710","83,220","83,650","84,300","84,570"
E09000026,Redbridge,"96,200","96,900","97,670","98,690","99,310","99,940","100,890","101,350","101,870","102,140","102,400","102,650","102,710","103,460","103,920","104,690"
E09000027,Richmond upon Thames,"79,250","79,880","80,820","81,100","81,460","81,850","82,120","82,480","82,690","83,180","83,540","83,780","84,290","84,760","85,140","85,560"
E09000029,Sutton,"78,050","78,350","78,500","78,630","79,120","79,440","79,510","79,700","80,280","80,510","80,810","81,240","81,630","82,280","82,980","83,550"
E09000031,Waltham Forest,"92,990","93,620","94,380","95,300","96,280","97,250","97,620","98,280","98,780","99,250","99,640","100,310","101,280","102,320","103,030","103,640"
