ONS_Code,Borough,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
E09000007,Camden,1148 ,697 ,322 ,217 ,119 ,98 ,149 ,136 ,125 ,77 ,64 ,67 ,66 ,94 
E09000001,City of London,31 ,19 ,12 ,12 ,14 ,10 ,18 ,17 ,18 ,12 ,27 ,31 ,18 ,7 
E09000012,Hackney,1153 ,0 ,774 ,731 ,615 ,646 ,814 ,686 ,698 ,906 ,902 ,1017 ,803 ,949 
E09000013,Hammersmith and Fulham,653 ,430 ,443 ,252 ,166 ,156 ,163 ,203 ,283 ,385 ,444 ,406 ,365 ,249 
E09000014,Haringey,1175 ,1128 ,585 ,699 ,946 ,355 ,494 ,573 ,605 ,762 ,657 ,603 ,683 ,395 
E09000019,Islington,1130 ,0 ,686 ,401 ,254 ,201 ,333 ,413 ,410 ,399 ,398 ,376 ,393 ,223 
E09000020,Kensington and Chelsea,589 ,299 ,0 ,218 ,253 ,255 ,360 ,534 ,681 ,539 ,402 ,548 ,482 ,709 
E09000022,Lambeth,1644 ,1277 ,735 ,706 ,899 ,625 ,795 ,959 ,667 ,708 ,504 ,526 ,516 ,467 
E09000023,Lewisham,1245 ,1097 ,744 ,815 ,894 ,628 ,551 ,567 ,0 ,710 ,769 ,772 ,768 ,614 
E09000025,Newham,402 ,1422 ,428 ,409 ,250 ,97 ,97 ,248 ,883 ,1320 ,921 ,1345 ,1206 ,1143 
E09000028,Southwark,1668 ,1039 ,723 ,641 ,522 ,468 ,510 ,518 ,595 ,555 ,857 ,863 ,918 ,509 
E09000030,Tower Hamlets,1151 ,789 ,864 ,0 ,0 ,690 ,537 ,404 ,406 ,557 ,551 ,522 ,450 ,437 
E09000032,Wandsworth,840 ,680 ,589 ,508 ,583 ,426 ,509 ,591 ,657 ,723 ,787 ,855 ,798 ,822 
E09000033,Westminster,1112 ,970 ,662 ,0 ,468 ,401 ,463 ,561 ,807 ,716 ,643 ,541 ,534 ,454 
E09000002,Barking and Dagenham,775 ,345 ,0 ,334 ,306 ,232 ,221 ,199 ,664 ,853 ,764 ,941 ,543 ,512 
E09000003,Barnet,758 ,0 ,471 ,420 ,324 ,232 ,251 ,339 ,595 ,674 ,677 ,422 ,640 ,444 
E09000004,Bexley,430 ,270 ,251 ,207 ,177 ,128 ,204 ,346 ,349 ,420 ,498 ,483 ,508 ,500 
E09000005,Brent,795 ,0 ,738 ,894 ,488 ,322 ,334 ,483 ,562 ,731 ,847 ,709 ,556 ,536 
E09000006,Bromley,504 ,718 ,621 ,551 ,489 ,414 ,426 ,634 ,566 ,503 ,451 ,608 ,831 ,630 
E09000008,Croydon,1126 ,581 ,340 ,429 ,449 ,425 ,575 ,847 ,912 ,762 ,880 ,1006 ,1042 ,749 
E09000009,Ealing,789 ,662 ,442 ,407 ,530 ,355 ,258 ,423 ,367 ,560 ,926 ,677 ,734 ,698 
E09000010,Enfield,727 ,852 ,768 ,595 ,633 ,241 ,199 ,256 ,551 ,627 ,606 ,1131 ,1096 ,786 
E09000011,Greenwich,1157 ,970 ,610 ,373 ,299 ,197 ,158 ,185 ,290 ,232 ,364 ,450 ,546 ,562 
E09000015,Harrow,96 ,120 ,159 ,221 ,74 ,50 ,45 ,109 ,115 ,180 ,280 ,516 ,449 ,307 
E09000016,Havering,200 ,0 ,264 ,171 ,127 ,128 ,137 ,226 ,202 ,163 ,191 ,398 ,317 ,330 
E09000017,Hillingdon,461 ,396 ,311 ,347 ,351 ,452 ,161 ,116 ,90 ,301 ,307 ,329 ,279 ,264 
E09000018,Hounslow,891 ,674 ,466 ,382 ,331 ,173 ,200 ,445 ,638 ,624 ,452 ,542 ,376 ,247 
E09000021,Kingston upon Thames,262 ,0 ,230 ,207 ,218 ,140 ,137 ,176 ,187 ,204 ,222 ,213 ,239 ,190 
E09000024,Merton,261 ,215 ,107 ,95 ,67 ,96 ,89 ,101 ,98 ,103 ,132 ,141 ,115 ,122 
E09000026,Redbridge,520 ,599 ,410 ,476 ,362 ,255 ,371 ,406 ,427 ,444 ,447 ,508 ,464 ,497 
E09000027,Richmond upon Thames,279 ,254 ,152 ,138 ,130 ,138 ,160 ,255 ,357 ,279 ,232 ,231 ,192 ,207 
E09000029,Sutton,272 ,219 ,215 ,220 ,202 ,144 ,150 ,168 ,160 ,197 ,277 ,309 ,316 ,231 
E09000031,Waltham Forest,800 ,769 ,696 ,472 ,419 ,286 ,311 ,600 ,1045 ,804 ,1051 ,1087 ,820 ,586 
