lad15cd,lad15nm,2004,2009,2014,2019
E09000001,City of London,31,10,27,0
E09000002,Barking and Dagenham,775,232,764,179
E09000003,Barnet,758,232,677,176
E09000004,Bexley,430,128,498,0
E09000005,Brent,795,322,847,0
E09000006,Bromley,504,414,451,96
E09000007,Camden,1148,98,64,51
E09000008,Croydon,1126,425,880,343
E09000009,Ealing,789,355,926,0
E09000010,Enfield,727,241,606,191
E09000011,Greenwich,1157,197,364,62
E09000012,Hackney,1153,646,902,98
E09000013,Hammersmith and Fulham,653,156,444,57
E09000014,Haringey,1175,355,657,313
E09000015,Harrow,96,50,280,56
E09000016,Havering,200,128,191,136
E09000017,Hillingdon,461,452,307,257
E09000018,Hounslow,891,173,452,0
E09000019,Islington,1130,201,398,30
E09000020,Kensington and Chelsea,589,255,402,31
E09000021,Kingston upon Thames,262,140,222,0
E09000022,Lambeth,1644,625,504,110
E09000023,Lewisham,1245,628,769,235
E09000024,Merton,261,96,132,80
E09000025,Newham,402,97,921,71
E09000026,Redbridge,520,255,447,0
E09000027,Richmond upon Thames,279,138,232,0
E09000028,Southwark,1668,468,857,122
E09000029,Sutton,272,144,277,34
E09000030,Tower Hamlets,1151,690,551,209
E09000031,Waltham Forest,800,286,1051,95
E09000032,Wandsworth,840,426,787,0
E09000033,Westminster,1112,401,643,44
